_TAuxRelTToConActo;IdTto
_TAuxRelTToConActo;IdTtoConector
Accesos;Acceso
Accesos;Accion
Accesos;IdPerfil
Accesos;Limitador
Accesos;Permiso
AccesosConsultas;Acceso
AccesosConsultas;IdConsulta
AccesosConsultas;IdPerfil
AgdAccesos;Acceso
AgdAccesos;IdPerfil
AgdAccesos;IdUsu
AgdAccesos;Permiso
AgdClasificacionUsu;_fechaModif
AgdClasificacionUsu;_fechaReg
AgdClasificacionUsu;_idUserModif
AgdClasificacionUsu;_idUserReg
AgdClasificacionUsu;_version
AgdClasificacionUsu;Codigo
AgdClasificacionUsu;Descripcion
AgdClasificacionUsu;Id
AgdClasificacionUsu;IdTipo
AgdClasificacionUsu_TUsuAgd;_fechaModif
AgdClasificacionUsu_TUsuAgd;_fechaReg
AgdClasificacionUsu_TUsuAgd;_idUserModif
AgdClasificacionUsu_TUsuAgd;_idUserReg
AgdClasificacionUsu_TUsuAgd;_version
AgdClasificacionUsu_TUsuAgd;Id
AgdClasificacionUsu_TUsuAgd;Id_AgdClasificacionUsu
AgdClasificacionUsu_TUsuAgd;Id_TUsuAgd
AgdCuadroMedico;IdCuadroMedico
AgdCuadroMedico;IdUsu
AgdCuadroMedico;Inactivo
AgdGrUsu;IdGrUsu
AgdGrUsu;IdUsuAgd
AgdNotas;Fecha
AgdNotas;IdCentro
AgdNotas;IdNota
AgdNotas;IdUsu
AgdNotas;Nota
AgrupacionesFormaPago;_fechaModif
AgrupacionesFormaPago;_fechaReg
AgrupacionesFormaPago;_idUserModif
AgrupacionesFormaPago;_idUserReg
AgrupacionesFormaPago;_version
AgrupacionesFormaPago;Descripcion
AgrupacionesFormaPago;Id
AlertCli;IdCli
AlertCli;Marcado
AlertCli;NumAlerta
AlertCli;Texto
AlertPac;_fechaModif
AlertPac;_fechaReg
AlertPac;_idUserModif
AlertPac;_idUserReg
AlertPac;_version
AlertPac;Id
AlertPac;IdCentro
AlertPac;IdPac
AlertPac;Marcado
AlertPac;NumAlerta
AlertPac;Texto
ArqCaja;_fechareg
ArqCaja;Diferencia
ArqCaja;Estado
